p n nt time
1024 2501 100 0.069144
1024 2501 100 0.068954
1024 2501 100 0.063230
1024 2501 100 0.068343
1024 2501 100 0.063144
1024 2501 100 0.068856
1024 2501 100 0.063083
1024 2501 100 0.068846
1024 2501 100 0.062710
1024 2501 100 0.068453
1024 2501 100 0.063400
1024 2501 100 0.068390
1024 2501 100 0.063380
1024 2501 100 0.068968
1024 2501 100 0.064008
1024 2501 100 0.067314
1024 2501 100 0.063915
1024 2501 100 0.068894
1024 2501 100 0.064541
1024 2501 100 0.069183
1024 2501 100 0.064167
1024 2501 100 0.069182
1024 2501 100 0.064025
1024 2501 100 0.069440
1024 2501 100 0.063833
1024 2501 100 0.069112
1024 2501 100 0.064317
1024 2501 100 0.068751
1024 2501 100 0.064178
1024 2501 100 0.069419
1024 2501 100 0.063866
1024 2501 100 0.069329
1024 2501 100 0.064222
1024 2501 100 0.069011
1024 2501 100 0.064251
1024 2501 100 0.068824
1024 2501 100 0.064436
1024 2501 100 0.069378
1024 2501 100 0.064181
1024 2501 100 0.069175
1024 2501 100 0.064430
1024 2501 100 0.069065
1024 2501 100 0.063920
1024 2501 100 0.068500
1024 2501 100 0.064212
1024 2501 100 0.068439
1024 2501 100 0.064327
1024 2501 100 0.068919
1024 2501 100 0.064480
1024 2501 100 0.068128
1024 2501 100 0.064390
1024 2501 100 0.069465
1024 2501 100 0.069360
1024 2501 100 0.069251
1024 2501 100 0.068524
1024 2501 100 0.069231
1024 2501 100 0.069377
1024 2501 100 0.068681
1024 2501 100 0.068577
1024 2501 100 0.069308
1024 2501 100 0.068378
1024 2501 100 0.069333
1024 2501 100 0.068512
1024 2501 100 0.069215
1024 2501 100 0.069131
1024 2501 100 0.068983
1024 2501 100 0.069398
1024 2501 100 0.068984
1024 2501 100 0.068459
1024 2501 100 0.067356
1024 2501 100 0.069612
1024 2501 100 0.068776
1024 2501 100 0.068544
1024 2501 100 0.068650
1024 2501 100 0.069336
1024 2501 100 0.069360
1024 2501 100 0.069124
1024 2501 100 0.069751
1024 2501 100 0.068984
1024 2501 100 0.068932
1024 2501 100 0.068866
1024 2501 100 0.069728
1024 2501 100 0.069343
1024 2501 100 0.069109
1024 2501 100 0.068844
1024 2501 100 0.068771
1024 2501 100 0.069171
1024 2501 100 0.068738
1024 2501 100 0.069293
1024 2501 100 0.069142
1024 2501 100 0.069477
1024 2501 100 0.069319
1024 2501 100 0.068888
1024 2501 100 0.069796
1024 2501 100 0.068931
1024 2501 100 0.069224
1024 2501 100 0.069671
1024 2501 100 0.069454
1024 2501 100 0.069187
1024 2501 100 0.069770
1024 2501 100 0.069548
1024 2501 100 0.069800
1024 2501 100 0.069151
1024 2501 100 0.068811
1024 2501 100 0.069134
1024 2501 100 0.069459
1024 2501 100 0.069747
1024 2501 100 0.069021
1024 2501 100 0.068814
1024 2501 100 0.069506
1024 2501 100 0.069501
1024 2501 100 0.069187
1024 2501 100 0.069409
1024 2501 100 0.069530
1024 2501 100 0.069614
1024 2501 100 0.069106
1024 2501 100 0.069662
1024 2501 100 0.069181
1024 2501 100 0.069051
1024 2501 100 0.069453
1024 2501 100 0.069540
1024 2501 100 0.069323
1024 2501 100 0.068946
1024 2501 100 0.068607
1024 2501 100 0.069417
1024 2501 100 0.069389
1024 2501 100 0.070070
1024 2501 100 0.070564
1024 2501 100 0.069781
1024 2501 100 0.069811
1024 2501 100 0.069728
1024 2501 100 0.070026
1024 2501 100 0.069747
1024 2501 100 0.073113
1024 2501 100 0.073472
1024 2501 100 0.073299
1024 2501 100 0.073895
1024 2501 100 0.073379
1024 2501 100 0.072874
1024 2501 100 0.072734
1024 2501 100 0.073521
1024 2501 100 0.073477
1024 5001 100 0.075357
1024 5001 100 0.075206
1024 5001 100 0.074939
1024 5001 100 0.075230
1024 5001 100 0.075181
1024 5001 100 0.075271
1024 5001 100 0.075443
1024 5001 100 0.075846
1024 5001 100 0.075832
1024 5001 100 0.075860
1024 5001 100 0.075381
1024 5001 100 0.075349
1024 5001 100 0.075254
1024 5001 100 0.075669
1024 5001 100 0.075146
1024 5001 100 0.075620
1024 5001 100 0.075763
1024 5001 100 0.075388
1024 5001 100 0.075181
1024 5001 100 0.075639
1024 5001 100 0.075387
1024 5001 100 0.075520
1024 5001 100 0.075442
1024 5001 100 0.075536
1024 5001 100 0.075358
1024 5001 100 0.075617
1024 5001 100 0.074710
1024 5001 100 0.075768
1024 5001 100 0.075869
1024 5001 100 0.075585
1024 5001 100 0.074854
1024 5001 100 0.075492
1024 5001 100 0.075794
1024 5001 100 0.074941
1024 5001 100 0.075790
1024 5001 100 0.075931
1024 5001 100 0.076071
1024 5001 100 0.074158
1024 5001 100 0.075574
1024 5001 100 0.076032
1024 5001 100 0.075951
1024 5001 100 0.074982
1024 5001 100 0.074346
1024 5001 100 0.074573
1024 5001 100 0.075663
1024 5001 100 0.075686
1024 5001 100 0.074239
1024 5001 100 0.074304
1024 5001 100 0.076145
1024 5001 100 0.075884
1024 5001 100 0.075987
