p n nt time
512 10001 25 0.157129
512 10001 25 0.159605
512 10001 25 0.156401
512 10001 25 0.156866
512 10001 25 0.160426
512 10001 25 0.156102
512 10001 25 0.156440
512 10001 25 0.160461
512 10001 25 0.156892
512 10001 25 0.157324
512 10001 25 0.159960
512 10001 25 0.156381
512 10001 25 0.157302
512 10001 25 0.160462
512 10001 25 0.156649
512 10001 25 0.157197
512 10001 25 0.160316
512 10001 25 0.156769
512 10001 25 0.157406
512 10001 25 0.160472
512 10001 25 0.156541
512 10001 25 0.157492
512 10001 25 0.161006
512 10001 25 0.156155
512 10001 25 0.156968
512 10001 25 0.161060
512 10001 25 0.155797
512 10001 25 0.156871
512 10001 25 0.160643
512 10001 25 0.155792
512 10001 25 0.156809
512 10001 25 0.160418
512 10001 25 0.155960
512 10001 25 0.157115
512 10001 25 0.161128
512 10001 25 0.156449
512 10001 25 0.157122
512 10001 25 0.160616
512 10001 25 0.156432
512 10001 25 0.157112
512 10001 25 0.160939
512 10001 25 0.156705
512 10001 25 0.156564
512 10001 25 0.160898
512 10001 25 0.156164
512 10001 25 0.156707
512 10001 25 0.160609
512 10001 25 0.156545
512 10001 25 0.157112
512 10001 25 0.161014
512 10001 25 0.156755
512 10001 25 0.157603
512 10001 25 0.161040
512 10001 25 0.156868
512 10001 25 0.156646
512 10001 25 0.161698
512 10001 25 0.156231
512 10001 25 0.157911
512 10001 25 0.161279
512 10001 25 0.156522
512 10001 25 0.157657
512 10001 25 0.161376
512 10001 25 0.157156
512 10001 25 0.157365
512 10001 25 0.161609
512 10001 25 0.156480
512 10001 25 0.157260
512 10001 25 0.161234
512 10001 25 0.156070
512 10001 25 0.157925
512 10001 25 0.161586
512 10001 25 0.156437
512 10001 25 0.157812
512 10001 25 0.162035
512 10001 25 0.156453
512 10001 25 0.157733
512 10001 25 0.162091
512 10001 25 0.156534
512 10001 25 0.157642
512 10001 25 0.161927
512 10001 25 0.156765
512 10001 25 0.157170
512 10001 25 0.162812
512 10001 25 0.157141
512 10001 25 0.157549
512 10001 25 0.163126
512 10001 25 0.156838
512 10001 25 0.157312
512 10001 25 0.162071
512 10001 25 0.156831
512 10001 25 0.157273
512 10001 25 0.162946
512 10001 25 0.156756
512 10001 25 0.157829
512 10001 25 0.162405
512 10001 25 0.157009
512 10001 25 0.157002
512 10001 25 0.162806
512 10001 25 0.157026
512 10001 25 0.157639
512 10001 25 0.163236
512 10001 25 0.157256
512 10001 25 0.156754
512 10001 25 0.162863
512 10001 25 0.156388
512 10001 25 0.157230
512 10001 25 0.163146
512 10001 25 0.157282
512 10001 25 0.157777
512 10001 25 0.162410
512 10001 25 0.156871
512 10001 25 0.158056
512 10001 25 0.162439
512 10001 25 0.157096
512 10001 25 0.158190
512 10001 25 0.162810
512 10001 25 0.157279
512 10001 25 0.158027
512 10001 25 0.162360
512 10001 25 0.156677
512 10001 25 0.157502
512 10001 25 0.162630
512 10001 25 0.157196
512 10001 25 0.157724
512 10001 25 0.162925
512 10001 25 0.156597
512 10001 25 0.157496
512 10001 25 0.162965
512 10001 25 0.157029
512 10001 25 0.157531
512 10001 25 0.162625
512 10001 25 0.157074
512 10001 25 0.157146
512 10001 25 0.162469
512 10001 25 0.157314
512 10001 25 0.157128
512 10001 25 0.162653
512 10001 25 0.156780
512 10001 25 0.157712
512 10001 25 0.163357
512 10001 25 0.157301
512 10001 25 0.157759
512 10001 25 0.160481
512 10001 25 0.157877
512 10001 25 0.157156
512 10001 25 0.163225
512 10001 25 0.156757
512 10001 25 0.157985
